2023-07-03; 15:15:37; 00:07:02; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 17:32:03; 00:03:56; Триблок; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 03:19:57; 01:18:18; Триблок; |Переход по этикетке и в/м;|
2023-07-02; 19:18:13; 00:05:49; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 09:18:26; 00:05:53; |Капсуляторная машина;| Настройка;
2023-07-03; 16:18:11; 00:04:26; Этикетировка; Настройка;
2023-07-02; 19:39:02; 00:06:06; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 05:00:29; 00:10:55; Этикетировка; Настройка;
2023-07-03; 14:52:13; 00:22:54; Триблок; Настройка;
2023-07-03; 05:42:15; 00:10:15; Этикетировка; Настройка;
2023-07-03; 05:53:02; 00:04:53; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 16:27:48; 00:05:11; Триблок; |Поломка аппарата;|
2023-07-02; 20:56:02; 00:05:54; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 06:03:05; 00:03:58; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-02; 21:17:41; 00:03:59; |Мюзлёвочный аппарат;| Настройка;
2023-07-03; 11:28:40; 00:06:23; Триблок; Настройка;
2023-07-02; 22:00:19; 00:04:21; Триблок; Настройка;
2023-07-03; 06:27:54; 00:05:52; |Капсуляторная машина;| Настройка;
2023-07-03; 14:22:21; 00:04:07; Принтер; |Настройка принтера даты;|
2023-07-03; 12:50:31; 00:06:12; Триблок; |Поломка аппарата;|
2023-07-03; 18:26:07; 00:05:29; Принтер; |Настройка принтера даты;|
2023-07-03; 08:12:39; 00:15:43; |Этикетировочная машина;| Настройка;
2023-07-04; 13:10:26; 00:04:47; |Укладчик бутылок;| None;
2023-07-03; 16:34:00; 00:31:34; Триблок; Обед;
2023-07-05; 20:20:16; 00:12:34; Триблок; |Переход на новый акратофор,емкость;|
2023-07-03; 19:40:50; 00:03:32; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 19:48:41; 00:05:26; |Мюзлёвочный аппарат;| Настройка;
2023-07-03; 19:30:34; 00:05:04; |Триблок розлива;| |Ремонт наливного крана;|
2023-07-03; 18:48:14; 00:10:27; Триблок; |Ремонт наливного крана;|
2023-07-03; 18:39:11; 00:08:38; Триблок; |Ремонт наливного крана;|
2023-07-03; 17:05:42; 00:06:18; |Мюзлёвочный аппарат;| Настройка;
2023-07-04; 10:38:58; 00:06:34; Триблок; |Ремонт наливного крана;|
2023-07-04; 03:05:34; 00:04:38; |Капсуляторная машина;| Настройка;
2023-07-03; 20:40:13; 00:10:59; Триблок; |Ремонт наливного крана;|
