2023-07-01; 00:00:29; 0.0;
2023-07-01; 00:03:29; 0.0;
2023-07-01; 00:06:30; 0.0;
2023-07-01; 00:09:31; 0.0;
2023-07-01; 00:12:31; 0.0;
2023-07-01; 00:15:32; 0.0;
2023-07-01; 00:18:32; 0.0;
2023-07-01; 00:21:32; 0.0;
2023-07-01; 00:24:33; 0.0;
2023-07-01; 00:27:33; 0.0;
2023-07-01; 00:30:33; 0.0;
2023-07-01; 00:33:34; 0.0;
2023-07-01; 00:36:34; 251.0;
2023-07-01; 00:39:34; 63.0;
2023-07-01; 00:42:35; 286.0;
2023-07-01; 00:45:35; 333.0;
2023-07-01; 00:48:36; 334.0;
2023-07-01; 00:51:36; 334.0;
2023-07-01; 00:54:36; 334.0;
2023-07-01; 00:57:37; 269.0;
2023-07-01; 01:00:38; 333.0;
2023-07-01; 01:03:38; 320.0;
2023-07-01; 01:06:39; 303.0;
2023-07-01; 01:09:39; 322.0;
2023-07-01; 01:12:39; 334.0;
2023-07-01; 01:15:40; 61.0;
2023-07-01; 01:18:40; 118.0;
2023-07-01; 01:21:41; 246.0;
2023-07-01; 01:24:41; 223.0;
2023-07-01; 01:27:41; 0.0;
2023-07-01; 01:30:42; 0.0;
2023-07-01; 01:33:42; 56.0;
2023-07-01; 01:36:42; 272.0;
2023-07-01; 01:39:43; 333.0;
2023-07-01; 01:42:43; 333.0;
2023-07-01; 01:45:43; 335.0;
2023-07-01; 01:48:44; 335.0;
2023-07-01; 01:51:44; 335.0;
2023-07-01; 01:54:45; 335.0;
2023-07-01; 01:57:45; 335.0;
2023-07-01; 02:00:46; 192.0;
2023-07-01; 02:03:46; 317.0;
2023-07-01; 02:06:47; 221.0;
2023-07-01; 02:09:47; 0.0;
2023-07-01; 02:12:47; 1.0;
2023-07-01; 02:15:48; 75.0;
2023-07-01; 02:18:48; 10.0;
2023-07-01; 02:21:49; 233.0;
2023-07-01; 02:24:49; 333.0;
2023-07-01; 02:27:49; 326.0;
2023-07-01; 02:30:50; 325.0;
2023-07-01; 02:33:50; 334.0;
2023-07-01; 02:36:51; 324.0;
2023-07-01; 02:39:51; 254.0;
2023-07-01; 02:42:52; 302.0;
2023-07-01; 02:45:52; 318.0;
2023-07-01; 02:48:52; 313.0;
2023-07-01; 02:51:53; 144.0;
2023-07-01; 02:54:53; 216.0;
2023-07-01; 02:57:53; 324.0;
2023-07-01; 03:00:54; 326.0;
2023-07-01; 03:03:54; 325.0;
2023-07-01; 03:06:55; 326.0;
2023-07-01; 03:09:55; 282.0;
2023-07-01; 03:12:55; 239.0;
2023-07-01; 03:15:56; 325.0;
2023-07-01; 03:18:56; 317.0;
2023-07-01; 03:21:57; 331.0;
2023-07-01; 03:24:57; 168.0;
2023-07-01; 03:27:57; 324.0;
2023-07-01; 03:30:57; 325.0;
2023-07-01; 03:33:58; 282.0;
2023-07-01; 03:36:58; 114.0;
2023-07-01; 03:39:58; 6.0;
2023-07-01; 03:42:59; 0.0;
2023-07-01; 03:45:59; 0.0;
2023-07-01; 03:49:00; 0.0;
2023-07-01; 03:52:00; 0.0;
2023-07-01; 03:55:00; 0.0;
2023-07-01; 03:58:00; 0.0;
2023-07-01; 04:01:01; 0.0;
2023-07-01; 04:04:01; 0.0;
2023-07-01; 04:07:02; 0.0;
2023-07-01; 04:10:02; 0.0;
2023-07-01; 04:13:02; 0.0;
2023-07-01; 04:16:03; 0.0;
2023-07-01; 04:19:03; 0.0;
2023-07-01; 04:22:04; 0.0;
2023-07-01; 04:25:04; 0.0;
2023-07-01; 04:28:05; 0.0;
2023-07-01; 04:31:05; 0.0;
2023-07-01; 04:34:06; 0.0;
2023-07-01; 04:37:06; 0.0;
2023-07-01; 04:40:06; 0.0;
2023-07-01; 04:43:07; 0.0;
2023-07-01; 04:46:07; 0.0;
2023-07-01; 04:49:07; 0.0;
2023-07-01; 04:52:08; 0.0;
2023-07-01; 04:55:08; 0.0;
2023-07-01; 04:58:09; 0.0;
